_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
671fe2de50538de2c2568faf,,91.26,92.13,91.26,72.51,82;0;0;0,quote,6349,0,2,10.78,0,2.19,false,false,english,none,normal,false,false,false,,1730142942000
671fe1ca50538de2c2567e10,,147.04,100,147.04,66.47,53;0;0;0,words,10,-1,2,4.33,0,5.35,false,false,english,none,normal,false,false,false,,1730142666000
671fe15450538de2c25676b7,,107.09,89.8,134.55,68.79,39;2;1;1,words,10,-1,3,4.37,0,3.45,false,false,english,none,normal,false,false,false,,1730142548000
671fe14850538de2c25675fe,,145.05,100,145.05,64.72,51;0;0;0,words,10,-1,0,4.22,0,0,false,false,english,none,normal,false,false,false,,1730142536000
671fdff050538de2c25660cd,,113.45,100,113.45,55.56,48;0;0;0,words,10,-1,2,5.08,0,3.08,false,false,english,none,normal,false,false,false,,1730142192000
671fdfd650538de2c2565f25,,126.37,100,126.37,76.48,51;0;0;0,words,10,-1,5,4.84,0,12.63,false,false,english,none,normal,false,false,false,,1730142166000
671fb83950538de2c253a8d3,,106.07,90.91,119.05,67.18,49;3;1;0,words,10,-1,3,5.54,0,7.68,false,false,english_1k,none,normal,false,false,false,,1730132025000
671fb5e750538de2c2537e7a,,125.29,100,125.29,69.28,56;0;0;0,words,10,-1,1,5.36,0,1.93,false,false,english,none,normal,false,false,false,,1730131431000
671fb57050538de2c253763a,,133.71,98,133.71,78.09,49;0;0;0,words,10,-1,1,4.4,0,0.83,false,false,english,none,normal,false,false,false,,1730131312000
671fb56350538de2c2537543,,142.35,100,142.35,91.43,56;0;0;0,words,10,-1,0,4.72,0,0,false,false,english,none,normal,false,false,false,,1730131299000
671fb53950538de2c2537222,,143.76,100,143.76,94.09,47;0;0;0,words,10,-1,1,3.92,0,1.87,false,false,english,none,normal,false,false,false,,1730131257000
671f957650538de2c2511937,,121.67,100,121.67,61.36,61;0;0;0,words,10,-1,2,6.02,0,3.62,false,false,english,none,normal,false,false,false,,1730123126000
